problem,algorithm,heuristic,initial_state,goal_state,depth,explored_nodes,generated_nodes,Memory,run_time,path_cost,path,solution
RomaniaMap,BreadthFirstGraphSearch,None,Iasi,Vaslui,1,2,2,0.0,0.00018,inf,"['Iasi', 'Vaslui']","['(Iasi, Vaslui)']"
RomaniaMap,UniformCostSearch,None,Iasi,Vaslui,1,3,3,0.0,0.00015,inf,"['Iasi', 'Vaslui']","['(Iasi, Vaslui)']"
RomaniaMap,BreadthFirstGraphSearch,None,Mehadia,Arad,3,8,11,0.0,0.00027,inf,"['Mehadia', 'Lugoj', 'Timisoara', 'Arad']","['(Mehadia, Lugoj)', '(Lugoj, Timisoara)', '(Timisoara, Arad)']"
RomaniaMap,UniformCostSearch,None,Mehadia,Arad,3,4,6,0.0,0.00033,inf,"['Mehadia', 'Lugoj', 'Timisoara', 'Arad']","['(Mehadia, Lugoj)', '(Lugoj, Timisoara)', '(Timisoara, Arad)']"
RomaniaMap,BreadthFirstGraphSearch,None,Mehadia,Oradea,5,13,24,0.0,0.0004,inf,"['Mehadia', 'Drobeta', 'Craiova', 'Rimnicu', 'Sibiu', 'Oradea']","['(Mehadia, Drobeta)', '(Drobeta, Craiova)', '(Craiova, Rimnicu)', '(Rimnicu, Sibiu)', '(Sibiu, Oradea)']"
RomaniaMap,UniformCostSearch,None,Mehadia,Oradea,5,12,29,0.0,0.00052,inf,"['Mehadia', 'Lugoj', 'Timisoara', 'Arad', 'Sibiu', 'Oradea']","['(Mehadia, Lugoj)', '(Lugoj, Timisoara)', '(Timisoara, Arad)', '(Arad, Sibiu)', '(Sibiu, Oradea)']"
RomaniaMap,BreadthFirstGraphSearch,None,Lugoj,Bucharest,5,13,24,0.0,0.00077,inf,"['Lugoj', 'Timisoara', 'Arad', 'Sibiu', 'Fagaras', 'Bucharest']","['(Lugoj, Timisoara)', '(Timisoara, Arad)', '(Arad, Sibiu)', '(Sibiu, Fagaras)', '(Fagaras, Bucharest)']"
RomaniaMap,UniformCostSearch,None,Lugoj,Bucharest,5,6,12,0.0,0.00052,inf,"['Lugoj', 'Mehadia', 'Drobeta', 'Craiova', 'Pitesti', 'Bucharest']","['(Lugoj, Mehadia)', '(Mehadia, Drobeta)', '(Drobeta, Craiova)', '(Craiova, Pitesti)', '(Pitesti, Bucharest)']"
RomaniaMap,BreadthFirstGraphSearch,None,Zerind,Oradea,1,3,2,0.0,0.0001,inf,"['Zerind', 'Oradea']","['(Zerind, Oradea)']"
RomaniaMap,DepthFirstSearch,None,Zerind,Oradea,1,2,2,0.0,0.0001,inf,"['Zerind', 'Oradea']","['(Zerind, Oradea)']"
RomaniaMap,UniformCostSearch,None,Zerind,Oradea,1,2,2,0.0,0.00017,inf,"['Zerind', 'Oradea']","['(Zerind, Oradea)']"
RomaniaMap,InterativeDeepeningSearch,None,Zerind,Oradea,1,2,2,0.0,0.0001,inf,"['Zerind', 'Oradea']","['(Zerind, Oradea)']"
RomaniaMap,BreadthFirstGraphSearch,None,Lugoj,Rimnicu,4,11,17,0.0,0.00062,inf,"['Lugoj', 'Timisoara', 'Arad', 'Sibiu', 'Rimnicu']","['(Lugoj, Timisoara)', '(Timisoara, Arad)', '(Arad, Sibiu)', '(Sibiu, Rimnicu)']"
RomaniaMap,UniformCostSearch,None,Lugoj,Rimnicu,4,19,41,0.0,0.00072,inf,"['Lugoj', 'Mehadia', 'Drobeta', 'Craiova', 'Rimnicu']","['(Lugoj, Mehadia)', '(Mehadia, Drobeta)', '(Drobeta, Craiova)', '(Craiova, Rimnicu)']"
RomaniaMap,BreadthFirstGraphSearch,None,Vaslui,Craiova,4,12,17,0.0,0.00034,inf,"['Vaslui', 'Urziceni', 'Bucharest', 'Pitesti', 'Craiova']","['(Vaslui, Urziceni)', '(Urziceni, Bucharest)', '(Bucharest, Pitesti)', '(Pitesti, Craiova)']"
RomaniaMap,UniformCostSearch,None,Vaslui,Craiova,6,9,21,0.0,0.00073,inf,"['Vaslui', 'Urziceni', 'Bucharest', 'Fagaras', 'Sibiu', 'Rimnicu', 'Craiova']","['(Vaslui, Urziceni)', '(Urziceni, Bucharest)', '(Bucharest, Fagaras)', '(Fagaras, Sibiu)', '(Sibiu, Rimnicu)', '(Rimnicu, Craiova)']"
RomaniaMap,BreadthFirstGraphSearch,None,Bucharest,Sibiu,2,10,13,0.0,0.00029,inf,"['Bucharest', 'Fagaras', 'Sibiu']","['(Bucharest, Fagaras)', '(Fagaras, Sibiu)']"
RomaniaMap,UniformCostSearch,None,Bucharest,Sibiu,2,3,6,0.0,0.00018,inf,"['Bucharest', 'Fagaras', 'Sibiu']","['(Bucharest, Fagaras)', '(Fagaras, Sibiu)']"
RomaniaMap,BreadthFirstGraphSearch,None,Iasi,Urziceni,2,4,4,0.0,0.00015,inf,"['Iasi', 'Vaslui', 'Urziceni']","['(Iasi, Vaslui)', '(Vaslui, Urziceni)']"
RomaniaMap,BreadthFirstGraphSearch,None,Iasi,Vaslui,1,2,2,0.0,0.0001,inf,"['Iasi', 'Vaslui']","['(Iasi, Vaslui)']"
RomaniaMap,UniformCostSearch,None,Iasi,Vaslui,1,3,3,0.0,0.00016,inf,"['Iasi', 'Vaslui']","['(Iasi, Vaslui)']"
RomaniaMap,GreedyBestFirstSearch,straigth_line_distance,Iasi,Vaslui,1,2,2,0.0,0.00017,inf,"['Iasi', 'Vaslui']","['(Iasi, Vaslui)']"
RomaniaMap,AstarSearch,straigth_line_distance,Iasi,Vaslui,1,3,3,0.0,0.00021,inf,"['Iasi', 'Vaslui']","['(Iasi, Vaslui)']"
RomaniaMap,BreadthFirstGraphSearch,None,Mehadia,Arad,3,8,11,0.0,0.00028,inf,"['Mehadia', 'Lugoj', 'Timisoara', 'Arad']","['(Mehadia, Lugoj)', '(Lugoj, Timisoara)', '(Timisoara, Arad)']"
RomaniaMap,UniformCostSearch,None,Mehadia,Arad,3,4,6,0.0,0.00036,inf,"['Mehadia', 'Lugoj', 'Timisoara', 'Arad']","['(Mehadia, Lugoj)', '(Lugoj, Timisoara)', '(Timisoara, Arad)']"
RomaniaMap,GreedyBestFirstSearch,straigth_line_distance,Mehadia,Arad,3,4,6,0.0,0.00027,inf,"['Mehadia', 'Lugoj', 'Timisoara', 'Arad']","['(Mehadia, Lugoj)', '(Lugoj, Timisoara)', '(Timisoara, Arad)']"
